IND,0,1,2,3,4,5,6,7,8,9
HG00403,1e-05,1e-05,1e-05,1e-05,1e-05,0.691834,1e-05,1e-05,0.308086,1e-05
HG00406,1e-05,1e-05,1e-05,1e-05,1e-05,0.745035,1e-05,1e-05,0.254885,1e-05
HG00407,1e-05,1e-05,1e-05,1e-05,1e-05,0.72658,1e-05,1e-05,0.27334,1e-05
HG00409,1e-05,1e-05,1e-05,1.7e-05,1e-05,0.675256,1e-05,1e-05,0.324657,1e-05
HG00410,1e-05,1e-05,1e-05,1e-05,1e-05,0.677119,1e-05,1e-05,0.322801,1e-05
HG00419,1e-05,1e-05,1e-05,1e-05,1e-05,0.744867,1e-05,1e-05,0.255053,1e-05
HG00428,1e-05,1e-05,1e-05,1e-05,1e-05,0.714736,1e-05,1e-05,0.285184,1e-05
HG00436,1e-05,1e-05,1e-05,1e-05,1e-05,0.738772,1e-05,1e-05,0.261148,1e-05
HG00437,1e-05,1e-05,1e-05,1.1e-05,1e-05,0.691756,1e-05,1e-05,0.308164,1e-05
HG00442,1e-05,1e-05,1e-05,1e-05,1e-05,0.735043,1e-05,1e-05,0.264877,1e-05
HG00443,1e-05,1e-05,1e-05,1e-05,1e-05,0.681593,1.3e-05,1e-05,0.318323,1e-05
HG00445,1e-05,1e-05,1e-05,1e-05,1e-05,0.709001,1e-05,1e-05,0.290919,1e-05
HG00446,1e-05,1e-05,1e-05,1e-05,1e-05,0.694952,1e-05,1e-05,0.304968,1e-05
HG00448,1e-05,1e-05,1e-05,1e-05,1e-05,0.695021,1e-05,1e-05,0.304899,1e-05
HG00451,1e-05,1e-05,1e-05,1e-05,1e-05,0.689115,1e-05,1e-05,0.310805,1e-05
HG00452,1e-05,1e-05,1e-05,1e-05,1e-05,0.701886,1e-05,1e-05,0.298034,1e-05
HG00457,1e-05,1e-05,1e-05,1e-05,1e-05,0.732148,1e-05,1e-05,0.267772,1e-05
HG00458,1e-05,1e-05,1e-05,1e-05,1e-05,0.701802,1e-05,1e-05,0.298118,1e-05
HG00463,1e-05,1e-05,1e-05,1e-05,1e-05,0.712691,1e-05,1e-05,0.287229,1e-05
HG00464,1e-05,1e-05,1e-05,1e-05,1e-05,0.703559,1.5e-05,1e-05,0.296356,1e-05
HG00472,1e-05,1e-05,1e-05,1e-05,1e-05,0.724979,1e-05,1e-05,0.274941,1e-05
HG00475,1e-05,1e-05,1e-05,1e-05,1e-05,0.702207,1.1e-05,1e-05,0.297712,1e-05
HG00476,1e-05,1e-05,1e-05,1e-05,1e-05,0.708045,1e-05,1.3e-05,0.291872,1e-05
HG00478,1e-05,1e-05,1e-05,1e-05,1e-05,0.715248,1e-05,1e-05,0.284672,1e-05
HG00513,1e-05,1e-05,1e-05,1e-05,1e-05,0.746103,1e-05,1e-05,0.253817,1e-05
HG00524,1e-05,1e-05,1e-05,1e-05,1e-05,0.695188,1e-05,1e-05,0.304732,1e-05
HG00525,1e-05,1e-05,1e-05,1e-05,1e-05,0.666827,1e-05,1e-05,0.333093,1e-05
HG00530,1e-05,1e-05,1e-05,1e-05,1e-05,0.655117,1e-05,1e-05,0.344803,1e-05
HG00533,1e-05,1e-05,1e-05,1e-05,1e-05,0.702009,1e-05,1e-05,0.297911,1e-05
HG00534,1e-05,1e-05,1e-05,1e-05,1e-05,0.680009,1e-05,1e-05,0.319911,1e-05
HG00536,1e-05,1e-05,1e-05,1e-05,1e-05,0.71766,1e-05,1e-05,0.28226,1e-05
HG00537,1e-05,1e-05,1e-05,1e-05,1e-05,0.68817,1e-05,1.1e-05,0.311749,1e-05
HG00542,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.733442,1.4e-05,1e-05,0.266467,1e-05
HG00543,1e-05,1e-05,1e-05,1.1e-05,1e-05,0.740882,1.6e-05,1e-05,0.259031,1e-05
HG00556,1e-05,1e-05,1e-05,1e-05,1e-05,0.69182,1e-05,1e-05,0.3081,1e-05
HG00557,1e-05,1e-05,1e-05,1e-05,1e-05,0.681284,1.8e-05,1e-05,0.318628,1e-05
HG00560,1e-05,1e-05,1e-05,1.1e-05,1e-05,0.683576,1e-05,1e-05,0.316343,1e-05
HG00565,1e-05,1e-05,1e-05,1.2e-05,1e-05,0.691877,1e-05,1e-05,0.308041,1e-05
HG00566,1e-05,1e-05,1e-05,1e-05,1e-05,0.724453,1e-05,1e-05,0.275467,1e-05
HG00580,1e-05,1e-05,1e-05,1e-05,1e-05,0.671496,1e-05,1e-05,0.328424,1e-05
HG00583,1e-05,1e-05,1e-05,1e-05,1e-05,0.800028,1e-05,1e-05,0.199892,1e-05
HG00589,1e-05,1e-05,1e-05,1e-05,1e-05,0.677183,1e-05,1e-05,0.322737,1e-05
HG00590,1e-05,1e-05,1e-05,1e-05,1e-05,0.752215,1e-05,1e-05,0.247705,1e-05
HG00592,1e-05,1e-05,1e-05,1e-05,1.5e-05,0.403111,1e-05,1e-05,0.596804,1e-05
HG00593,1e-05,1e-05,1e-05,1e-05,1e-05,0.688274,1.2e-05,1.4e-05,0.311639,1e-05
HG00595,1e-05,1e-05,1e-05,1e-05,1e-05,0.692789,1e-05,1e-05,0.307131,1e-05
HG00598,1e-05,1e-05,1e-05,1e-05,1e-05,0.694753,1e-05,1e-05,0.305167,1e-05
HG00607,1e-05,1e-05,1e-05,1e-05,1e-05,0.694239,1e-05,1.4e-05,0.305678,1e-05
HG00610,1e-05,1e-05,1e-05,1e-05,1e-05,0.671713,1.3e-05,1e-05,0.328204,1e-05
HG00611,1e-05,1e-05,1e-05,1.4e-05,1e-05,0.675084,1.8e-05,1e-05,0.324825,1e-05
HG00613,1e-05,1e-05,1e-05,1e-05,1e-05,0.676979,1e-05,1e-05,0.322941,1e-05
HG00619,1e-05,1e-05,1e-05,1e-05,1.1e-05,0.693062,1e-05,1e-05,0.306858,1e-05
HG00620,1e-05,1e-05,1e-05,1e-05,1e-05,0.678738,1e-05,1e-05,0.321182,1e-05
HG00622,1e-05,1e-05,1e-05,1e-05,1.9e-05,0.720129,1e-05,1e-05,0.279781,1e-05
HG00623,1e-05,1e-05,1e-05,1e-05,1e-05,0.705943,1e-05,1e-05,0.293977,1e-05
HG00625,1e-05,1e-05,1e-05,0.001308,1e-05,0.794114,2e-05,1e-05,0.204499,1e-05
HG00628,1e-05,1e-05,1e-05,1e-05,1e-05,0.715123,1e-05,1e-05,0.284797,1e-05
HG00631,1e-05,1e-05,1e-05,1e-05,1e-05,0.646502,1.3e-05,1e-05,0.353416,1e-05
HG00632,1e-05,1e-05,1e-05,1e-05,1e-05,0.71102,1e-05,1e-05,0.2889,1e-05
HG00650,1e-05,1e-05,1e-05,1e-05,1e-05,0.861439,1e-05,1e-05,0.138481,1e-05
HG00651,1e-05,1e-05,1e-05,1e-05,1e-05,0.834935,1e-05,1e-05,0.164985,1e-05
HG00653,1e-05,1e-05,1e-05,1e-05,1e-05,0.85872,1e-05,1e-05,0.1412,1e-05
HG00654,1e-05,1e-05,1e-05,1e-05,1e-05,0.798357,1e-05,1e-05,0.201563,1e-05
HG00656,1e-05,1e-05,1e-05,1e-05,1e-05,0.867842,1e-05,1e-05,0.132078,1e-05
HG00657,1e-05,1e-05,1e-05,1e-05,1e-05,0.790115,1e-05,1e-05,0.209805,1e-05
HG00662,1e-05,1e-05,1e-05,1e-05,1e-05,0.835298,1.1e-05,1e-05,0.164621,1e-05
HG00663,1e-05,1e-05,1e-05,1e-05,1e-05,0.836443,1e-05,1e-05,0.163477,1e-05
HG00671,1e-05,1e-05,1e-05,1e-05,1e-05,0.820738,1e-05,1e-05,0.179182,1e-05
HG00672,1e-05,1e-05,1e-05,1e-05,1e-05,0.826462,1.2e-05,1e-05,0.173456,1e-05
HG00674,1e-05,1e-05,1e-05,1e-05,1e-05,0.793409,1e-05,1e-05,0.206511,1e-05
HG00675,1e-05,1e-05,1e-05,1e-05,1e-05,0.819453,1e-05,1e-05,0.180467,1e-05
HG00683,1e-05,1e-05,1e-05,1e-05,0.000117,0.819773,1e-05,1e-05,0.18004,1e-05
HG00684,1e-05,1e-05,1e-05,1e-05,1e-05,0.813136,1e-05,1e-05,0.186783,1e-05
HG00689,1e-05,1e-05,1e-05,1e-05,1e-05,0.81386,1e-05,1e-05,0.18606,1e-05
HG00690,1e-05,1e-05,1e-05,1e-05,1e-05,0.851341,1e-05,1e-05,0.148579,1e-05
HG00692,1e-05,1e-05,1e-05,1e-05,1e-05,0.854887,1e-05,1e-05,0.145033,1e-05
HG00693,1e-05,1e-05,1e-05,1e-05,1.4e-05,0.8203,1e-05,1e-05,0.179616,1e-05
HG00699,1e-05,1e-05,1e-05,1e-05,1e-05,0.761694,1e-05,1e-05,0.238226,1e-05
HG00701,1e-05,1e-05,1e-05,1e-05,1e-05,0.822964,1e-05,1e-05,0.176956,1e-05
HG00704,1e-05,1e-05,1e-05,1e-05,1.1e-05,0.797618,1e-05,1e-05,0.202301,1e-05
HG00705,1e-05,1e-05,1e-05,1e-05,1e-05,0.837138,1e-05,1e-05,0.162782,1e-05
HG00707,1e-05,1e-05,1e-05,1e-05,1e-05,0.846534,1e-05,1e-05,0.153386,1e-05
