pca,location,count,total_country,percentage
PC0,"United Kingdom of Great Britain and Northern Ireland (the)",106,106,100.00
PC0,"Finland",101,101,100.00
PC0,"United States of America (the)",101,104,97.12
PC0,"Colombia",94,101,93.07
PC0,"Spain",107,107,100.00
PC0,"Peru",5,88,5.68
PC0,"Pakistan",264,264,100.00
PC0,"Sri Lanka",101,101,100.00
PC0,"India",219,220,99.55
PC0,"Afghanistan",8,19,42.11
PC0,"France",51,51,100.00
PC0,"Palestine, State of",89,89,100.00
PC0,"Israel",45,46,97.83
PC0,"Italy",155,155,100.00
PC0,"Russian Federation (the)",47,51,92.16
PC0,"Algeria",25,27,92.59
PC0,"China",4,19,21.05
PC0,"Bulgaria",2,2,100.00
PC0,"Georgia",4,4,100.00
PC0,"Hungary",2,2,100.00
PC0,"Iran (Islamic Republic of)",2,2,100.00
PC0,"Iceland",2,2,100.00
PC0,"Jordan",3,3,100.00
PC0,"Azerbaijan",1,1,100.00
PC0,"Estonia",2,2,100.00
PC0,"Greece",4,4,100.00
PC0,"Czechia",1,1,100.00
PC0,"Tajikistan",2,2,100.00
PC0,"Turkey",3,3,100.00
PC0,"Norway",1,1,100.00
PC0,"Iraq",2,2,100.00
PC0,"Poland",1,1,100.00
PC0,"Yemen",2,2,100.00
PC0,"Morocco",2,2,100.00
PC0,"Albania",1,1,100.00
PC1,"United States of America (the)",3,104,2.88
PC1,"Barbados",96,96,100.00
PC1,"Peru",1,88,1.14
PC1,"Gambia (the)",113,113,100.00
PC1,"Nigeria",229,229,100.00
PC1,"Sierra Leone",85,85,100.00
PC1,"Congo (the Democratic Republic of the)",13,13,100.00
PC1,"Central African Republic (the)",22,22,100.00
PC1,"Israel",1,46,2.17
PC1,"Guinea",22,22,100.00
PC1,"Namibia",7,7,100.00
PC1,"Botswana",5,5,100.00
PC1,"Algeria",2,27,7.41
PC1,"Tanzania, United Republic of",11,11,100.00
PC1,"Somalia",1,1,100.00
PC1,"Kenya",104,104,100.00
PC1,"South Sudan",3,3,100.00
PC1,"South Africa",4,4,100.00
PC2,"Peru",82,88,93.18
PC2,"Afghanistan",11,19,57.89
PC2,"Colombia",7,101,6.93
PC2,"Brazil",20,20,100.00
PC2,"China",15,19,78.95
PC2,"Russian Federation (the)",4,51,7.84
PC2,"Nepal",2,2,100.00
PC2,"Argentina",1,1,100.00
PC2,"India",1,220,0.45
PC2,"Kyrgyzstan",2,2,100.00
