IND,0,1,2
HG02461,1e-05,0.99998,1e-05
HG02464,1e-05,0.99998,1e-05
HG02465,1e-05,0.99998,1e-05
HG02570,1e-05,0.99998,1e-05
HG02571,1e-05,0.99998,1e-05
HG02582,1e-05,0.99998,1e-05
HG02583,1e-05,0.99998,1e-05
HG02585,1e-05,0.99998,1e-05
HG02586,1e-05,0.99998,1e-05
HG02588,1e-05,0.99998,1e-05
HG02595,1e-05,0.99998,1e-05
HG02610,1e-05,0.99998,1e-05
HG02611,1e-05,0.99998,1e-05
HG02620,1e-05,0.99998,1e-05
HG02621,1e-05,0.99998,1e-05
HG02623,1e-05,0.99998,1e-05
HG02624,1e-05,0.99998,1e-05
HG02628,1e-05,0.99998,1e-05
HG02629,1e-05,0.99998,1e-05
HG02642,1e-05,0.99998,1e-05
HG02645,1e-05,0.99998,1e-05
HG02646,1e-05,0.99998,1e-05
HG02666,1e-05,0.99998,1e-05
HG02675,1e-05,0.99998,1e-05
HG02679,1e-05,0.99998,1e-05
HG02703,1e-05,0.99998,1e-05
HG02715,1e-05,0.99998,1e-05
HG02716,1e-05,0.99998,1e-05
HG02721,1e-05,0.99998,1e-05
HG02722,1e-05,0.99998,1e-05
HG02756,1e-05,0.99998,1e-05
HG02763,1e-05,0.99998,1e-05
HG02768,1e-05,0.99998,1e-05
HG02769,1e-05,0.99998,1e-05
HG02771,1e-05,0.99998,1e-05
HG02772,1e-05,0.99998,1e-05
HG02798,1e-05,0.99998,1e-05
HG02799,1e-05,0.99998,1e-05
HG02804,1e-05,0.99998,1e-05
HG02805,1e-05,0.99998,1e-05
HG02811,1e-05,0.99998,1e-05
HG02813,1e-05,0.99998,1e-05
HG02819,1e-05,0.99998,1e-05
HG02820,1e-05,0.99998,1e-05
HG02839,1e-05,0.99998,1e-05
HG02854,1e-05,0.99998,1e-05
HG02855,1e-05,0.99998,1e-05
HG02860,1e-05,0.99998,1e-05
HG02861,1e-05,0.99998,1e-05
HG02878,1e-05,0.99998,1e-05
HG02881,1e-05,0.99998,1e-05
HG02882,1e-05,0.99998,1e-05
HG02885,1e-05,0.99998,1e-05
HG02887,1e-05,0.99998,1e-05
HG02895,1e-05,0.99998,1e-05
HG02896,1e-05,0.99998,1e-05
HG02922,1e-05,0.99998,1e-05
HG02923,1e-05,0.99998,1e-05
HG02938,1e-05,0.99998,1e-05
HG02941,1e-05,0.99998,1e-05
HG02943,1e-05,0.99998,1e-05
HG02944,1e-05,0.99998,1e-05
HG02946,1e-05,0.99998,1e-05
HG02947,1e-05,0.99998,1e-05
HG02952,1e-05,0.99998,1e-05
HG02953,1e-05,0.99998,1e-05
HG02968,1e-05,0.99998,1e-05
HG02970,1e-05,0.99998,1e-05
HG02971,1e-05,0.99998,1e-05
HG02973,1e-05,0.99998,1e-05
HG02974,1e-05,0.99998,1e-05
HG02976,1e-05,0.99998,1e-05
HG02977,1e-05,0.99998,1e-05
HG02979,1e-05,0.99998,1e-05
HG02981,1e-05,0.99998,1e-05
HG02982,1e-05,0.99998,1e-05
HG02983,1e-05,0.99998,1e-05
HG03024,1e-05,0.99998,1e-05
HG03025,1e-05,0.99998,1e-05
HG03027,1e-05,0.99998,1e-05
HG03028,1e-05,0.99998,1e-05
HG03040,1e-05,0.99998,1e-05
HG03048,1e-05,0.99998,1e-05
HG03049,1e-05,0.99998,1e-05
HG03052,1e-05,0.99998,1e-05
HG03054,1e-05,0.99998,1e-05
HG03055,1e-05,0.99998,1e-05
HG03057,1e-05,0.99998,1e-05
HG03058,1e-05,0.99998,1e-05
HG03060,1e-05,0.99998,1e-05
HG03061,1e-05,0.99998,1e-05
HG03063,1e-05,0.99998,1e-05
HG03064,1e-05,0.99998,1e-05
HG03066,1e-05,0.99998,1e-05
HG03069,1e-05,0.99998,1e-05
HG03073,1e-05,0.99998,1e-05
HG03074,1e-05,0.99998,1e-05
HG03077,1e-05,0.99998,1e-05
HG03078,1e-05,0.99998,1e-05
HG03079,1e-05,0.99998,1e-05
HG03081,1e-05,0.99998,1e-05
HG03082,1e-05,0.99998,1e-05
HG03084,1e-05,0.99998,1e-05
HG03085,1e-05,0.99998,1e-05
HG03086,1e-05,0.99998,1e-05
HG03088,1e-05,0.99998,1e-05
HG03091,1e-05,0.99998,1e-05
HG03095,1e-05,0.99998,1e-05
HG03096,1e-05,0.99998,1e-05
HG03097,1e-05,0.99998,1e-05
HG03099,1e-05,0.99998,1e-05
HG03100,1e-05,0.99998,1e-05
HG03103,1e-05,0.99998,1e-05
HG03108,1e-05,0.99998,1e-05
HG03109,1e-05,0.99998,1e-05
HG03111,1e-05,0.99998,1e-05
HG03112,1e-05,0.99998,1e-05
HG03114,1e-05,0.99998,1e-05
HG03115,1e-05,0.99998,1e-05
HG03117,1e-05,0.99998,1e-05
HG03118,1e-05,0.99998,1e-05
HG03120,1e-05,0.99998,1e-05
HG03121,1e-05,0.99998,1e-05
HG03123,1e-05,0.99998,1e-05
HG03124,1e-05,0.99998,1e-05
HG03126,1e-05,0.99998,1e-05
HG03127,1e-05,0.99998,1e-05
HG03129,1e-05,0.99998,1e-05
HG03132,1e-05,0.99998,1e-05
HG03133,1e-05,0.99998,1e-05
HG03135,1e-05,0.99998,1e-05
HG03136,1e-05,0.99998,1e-05
HG03139,1e-05,0.99998,1e-05
