IND,0,1,2,3,4
HG01923,1e-05,1e-05,1e-05,0.99996,1e-05
HG02461,1e-05,1e-05,1e-05,1e-05,0.99996
HG02464,1e-05,1e-05,1e-05,1e-05,0.99996
HG02465,1e-05,1e-05,1e-05,1e-05,0.99996
HG02570,1e-05,1e-05,1e-05,1e-05,0.99996
HG02571,1e-05,1e-05,1e-05,1e-05,0.99996
HG02582,1e-05,1e-05,1e-05,1e-05,0.99996
HG02583,1e-05,1e-05,1e-05,1e-05,0.99996
HG02585,1e-05,1e-05,1e-05,1e-05,0.99996
HG02586,1e-05,1e-05,1e-05,1e-05,0.99996
HG02588,1e-05,1e-05,1e-05,1e-05,0.99996
HG02595,1e-05,1e-05,1e-05,1e-05,0.99996
HG02610,1e-05,1e-05,1e-05,1e-05,0.99996
HG02611,1e-05,1e-05,1e-05,1e-05,0.99996
HG02620,1e-05,1e-05,1e-05,1e-05,0.99996
HG02621,1e-05,1e-05,1e-05,1e-05,0.99996
HG02623,1e-05,1e-05,1e-05,1e-05,0.99996
HG02624,1e-05,1e-05,1e-05,1e-05,0.99996
HG02628,1e-05,1e-05,1e-05,1e-05,0.99996
HG02629,1e-05,1e-05,1e-05,1e-05,0.99996
HG02645,1e-05,1e-05,1e-05,1e-05,0.99996
HG02646,1e-05,1e-05,1e-05,1e-05,0.99996
HG02666,1e-05,1e-05,1e-05,1e-05,0.99996
HG02675,1e-05,1e-05,1e-05,1e-05,0.99996
HG02679,1e-05,1e-05,1e-05,1e-05,0.99996
HG02703,1e-05,1e-05,1e-05,1e-05,0.99996
HG02715,1e-05,1e-05,1e-05,1e-05,0.99996
HG02716,1e-05,1e-05,1e-05,1e-05,0.99996
HG02722,1e-05,1e-05,1e-05,1e-05,0.99996
HG02756,1e-05,1e-05,1e-05,1e-05,0.99996
HG02763,1e-05,1e-05,1e-05,1e-05,0.99996
HG02768,1e-05,1e-05,1e-05,1e-05,0.99996
HG02769,1e-05,1e-05,1e-05,1e-05,0.99996
HG02771,1e-05,1e-05,1e-05,1e-05,0.99996
HG02772,1e-05,1e-05,1e-05,1e-05,0.99996
HG02798,1e-05,1e-05,1e-05,1e-05,0.99996
HG02799,1e-05,1e-05,1e-05,1e-05,0.99996
HG02804,1e-05,1e-05,1e-05,1e-05,0.99996
HG02805,1e-05,1e-05,1e-05,1e-05,0.99996
HG02811,1e-05,1e-05,1e-05,1e-05,0.99996
HG02813,1e-05,1e-05,1e-05,1e-05,0.99996
HG02819,1e-05,1e-05,1e-05,1e-05,0.99996
HG02820,1e-05,1e-05,1e-05,1e-05,0.99996
HG02839,1e-05,1e-05,1e-05,1e-05,0.99996
HG02854,1e-05,1e-05,1e-05,1e-05,0.99996
HG02855,1e-05,1e-05,1e-05,1e-05,0.99996
HG02860,1e-05,1e-05,1e-05,1e-05,0.99996
HG02861,1e-05,1e-05,1e-05,1e-05,0.99996
HG02878,1e-05,1e-05,1e-05,1e-05,0.99996
HG02881,1e-05,1e-05,1e-05,1e-05,0.99996
HG02882,1e-05,1e-05,1e-05,1e-05,0.99996
HG02884,1e-05,1e-05,1e-05,1e-05,0.99996
HG02885,1e-05,1e-05,1e-05,1e-05,0.99996
HG02887,1e-05,1e-05,1e-05,1e-05,0.99996
HG02895,1e-05,1e-05,1e-05,1e-05,0.99996
HG02896,1e-05,1e-05,1e-05,1e-05,0.99996
HG02922,1e-05,1e-05,1e-05,1e-05,0.99996
HG02923,1e-05,1e-05,1e-05,1e-05,0.99996
HG02938,1e-05,1e-05,1e-05,1e-05,0.99996
HG02941,1e-05,1e-05,1e-05,1e-05,0.99996
HG02943,1e-05,1e-05,1e-05,1e-05,0.99996
HG02944,1e-05,1e-05,1e-05,1e-05,0.99996
HG02952,1e-05,1e-05,1e-05,1e-05,0.99996
HG02953,1e-05,1e-05,1e-05,1e-05,0.99996
HG02968,1e-05,1e-05,1e-05,1e-05,0.99996
HG02971,1e-05,1e-05,1e-05,1e-05,0.99996
HG02973,1e-05,1e-05,1e-05,1e-05,0.99996
HG02974,1e-05,1e-05,1e-05,1e-05,0.99996
HG02976,1e-05,1e-05,1e-05,1e-05,0.99996
HG02977,1e-05,1e-05,1e-05,1e-05,0.99996
HG02981,1e-05,1e-05,1e-05,1e-05,0.99996
HG02983,1e-05,1e-05,1e-05,1e-05,0.99996
HG03024,1e-05,1e-05,1e-05,1e-05,0.99996
HG03025,1e-05,1e-05,1e-05,1e-05,0.99996
HG03027,1e-05,1e-05,1e-05,1e-05,0.99996
HG03028,1e-05,1e-05,1e-05,1e-05,0.99996
HG03040,1e-05,1e-05,1e-05,1e-05,0.99996
HG03048,1e-05,1e-05,1e-05,1e-05,0.99996
HG03049,1e-05,1e-05,1e-05,1e-05,0.99996
HG03052,1e-05,1e-05,1e-05,1e-05,0.99996
HG03054,1e-05,1e-05,1e-05,1e-05,0.99996
HG03055,1e-05,1e-05,1e-05,1e-05,0.99996
HG03057,1e-05,1e-05,1e-05,1e-05,0.99996
HG03058,1e-05,1e-05,1e-05,1e-05,0.99996
HG03060,1e-05,1e-05,1e-05,1e-05,0.99996
HG03061,1e-05,1e-05,1e-05,1e-05,0.99996
HG03063,1e-05,1e-05,1e-05,1e-05,0.99996
HG03064,1e-05,1e-05,1e-05,1e-05,0.99996
HG03069,1e-05,1e-05,1e-05,1e-05,0.99996
HG03072,1e-05,1e-05,1e-05,1e-05,0.99996
HG03073,1e-05,1e-05,1e-05,1e-05,0.99996
HG03074,1e-05,1e-05,1e-05,1e-05,0.99996
HG03077,1e-05,1e-05,1e-05,1e-05,0.99996
