Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,6,7,assignment
HG00096,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00097,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00099,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00100,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00101,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00102,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999929,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00103,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00105,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00106,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00107,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00108,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00109,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00110,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00111,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00112,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00113,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00114,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00115,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00116,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999924,1e-05,1e-05,1e-05,1e-05,1e-05,1.6e-05,1e-05,0
HG00117,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00118,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00119,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00120,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00121,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00122,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00123,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999924,1e-05,1e-05,1e-05,1.6e-05,1e-05,1e-05,1e-05,0
HG00125,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00126,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),LP6005442-DNA_E10,England,Kent,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00127,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00128,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),LP6005442-DNA_F10,England,Kent,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00129,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00130,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00131,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00132,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00133,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00136,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999926,1e-05,1.4e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00137,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00138,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00139,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00140,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00141,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999928,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00142,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999929,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
HG00143,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999921,1e-05,1e-05,1e-05,1.9e-05,1e-05,1e-05,1e-05,0
HG00145,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.992045,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.007895,0
HG00146,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,0.999926,1e-05,1.4e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
