Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,6,7,8,assignment
HG00096,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.787813,0.212111,1e-05,1.6e-05,1e-05,1e-05,3
HG00097,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1.7e-05,1e-05,0.7921,0.207822,1e-05,1e-05,1e-05,1e-05,3
HG00099,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000251,1e-05,0.783256,0.216429,1.4e-05,1e-05,1e-05,1e-05,3
HG00100,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.79675,0.203177,1.3e-05,1e-05,1e-05,1e-05,3
HG00101,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.790537,0.209393,1e-05,1e-05,1e-05,1e-05,3
HG00102,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.786528,0.213402,1e-05,1e-05,1e-05,1e-05,3
HG00103,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.776397,0.223527,1e-05,1e-05,1.6e-05,1e-05,3
HG00105,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.784811,0.215119,1e-05,1e-05,1e-05,1e-05,3
HG00106,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.787865,0.212064,1.1e-05,1e-05,1e-05,1e-05,3
HG00107,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.795335,0.204587,1e-05,1.7e-05,1e-05,1e-05,3
HG00108,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.780656,0.219274,1e-05,1e-05,1e-05,1e-05,3
HG00109,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.790869,0.209061,1e-05,1e-05,1e-05,1e-05,3
HG00110,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.782244,0.217682,1e-05,1e-05,1.4e-05,1e-05,3
HG00111,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.780836,0.219084,1.3e-05,1e-05,1.7e-05,1e-05,3
HG00112,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.776673,0.223256,1e-05,1.1e-05,1e-05,1e-05,3
HG00113,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.799041,0.200889,1e-05,1e-05,1e-05,1e-05,3
HG00114,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.788525,0.211405,1e-05,1e-05,1e-05,1e-05,3
HG00115,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.793708,0.206222,1e-05,1e-05,1e-05,1e-05,3
HG00116,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.789286,0.210644,1e-05,1e-05,1e-05,1e-05,3
HG00117,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.781925,0.217994,1e-05,1.8e-05,1.3e-05,1e-05,3
HG00118,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000285,1e-05,0.772111,0.227544,1e-05,1e-05,1e-05,1e-05,3
HG00119,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.778356,0.221572,1e-05,1.2e-05,1e-05,1e-05,3
HG00120,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.784206,0.215724,1e-05,1e-05,1e-05,1e-05,3
HG00121,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.776662,0.223267,1e-05,1.1e-05,1e-05,1e-05,3
HG00122,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.792438,0.207492,1e-05,1e-05,1e-05,1e-05,3
HG00123,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.787157,0.212772,1.1e-05,1e-05,1e-05,1e-05,3
HG00125,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.7997,0.20023,1e-05,1e-05,1e-05,1e-05,3
HG00126,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),LP6005442-DNA_E10,England,Kent,1.0,1e-05,1e-05,1e-05,0.791529,0.208401,1e-05,1e-05,1e-05,1e-05,3
HG00127,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000144,1e-05,0.791414,0.208379,1.2e-05,1e-05,1e-05,1e-05,3
HG00128,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),LP6005442-DNA_F10,England,Kent,1.0,1e-05,1e-05,1e-05,0.802862,0.197068,1e-05,1e-05,1e-05,1e-05,3
HG00129,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.2e-05,1e-05,1e-05,0.78195,0.217978,1e-05,1e-05,1e-05,1e-05,3
HG00130,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.782867,0.217061,1e-05,1e-05,1.2e-05,1e-05,3
HG00131,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.779534,0.220396,1e-05,1e-05,1e-05,1e-05,3
HG00132,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,0.000256,1e-05,0.78646,0.213224,1e-05,1e-05,1e-05,1e-05,3
HG00133,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1.2e-05,1e-05,1e-05,0.788744,0.211184,1.1e-05,1e-05,1e-05,1e-05,3
HG00136,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.789156,0.210774,1e-05,1e-05,1e-05,1e-05,3
HG00137,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.779441,0.220489,1e-05,1e-05,1e-05,1e-05,3
HG00138,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.794653,0.205274,1.3e-05,1e-05,1e-05,1e-05,3
HG00139,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.787738,0.212192,1e-05,1e-05,1e-05,1e-05,3
HG00140,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.788647,0.21128,1e-05,1.3e-05,1e-05,1e-05,3
HG00141,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.790606,0.209324,1e-05,1e-05,1e-05,1e-05,3
HG00142,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.775403,0.22426,1e-05,0.000277,1e-05,1e-05,3
HG00143,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,0.793931,0.205999,1e-05,1e-05,1e-05,1e-05,3
