Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry
HG00096	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00097	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00099	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00100	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00101	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00102	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00103	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00105	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00106	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00107	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00108	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00109	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00110	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00111	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00112	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00113	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00114	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00115	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00116	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00117	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00118	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00119	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00120	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00121	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
HG00122	GBR	British	EUR	European	1kG	54.00366	-2.547855	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1
